,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
20.734644556373762,AT2G39730,AT4G26130,AT1G59830,AT5G64940,AT1G64500,AT4G33700,AT1G57980,AT4G17090,AT1G07280,AT3G14415,AT1G03130,AT2G29310,AT1G67740,AT1G21500,AT1G59900,AT1G37130,AT5G54930,AT4G34740,AT3G23210,,,,,,,,,,,,,
27.359826329707165,AT5G42250,AT5G43440,AT4G38960,AT5G37310,AT3G07350,AT1G79520,AT2G18230,AT4G35000,AT3G58610,AT2G03310,AT1G21500,AT2G23010,AT2G15620,AT4G30550,AT5G01530,AT1G55670,AT4G34740,AT4G27390,AT3G15790,AT2G04700,AT2G39730,AT1G64770,AT1G59830,AT1G53320,,,,,,,,
23.81631182201406,AT1G78370,AT5G59480,AT1G06040,AT5G42820,AT2G42220,AT1G05710,AT3G07350,AT4G26530,AT5G57030,AT3G08730,AT1G31330,AT5G14780,AT4G25890,AT2G23010,AT3G18490,AT5G43440,AT1G17455,AT2G29310,AT5G13100,AT4G19450,AT2G37180,AT5G23860,AT5G51820,,,,,,,,,
19.4233821075354,AT5G43440,AT1G52220,AT4G04020,AT3G08730,AT4G26130,AT1G65860,AT3G19710,AT1G18060,AT1G20696,AT5G06690,AT1G66410,AT4G35000,AT5G54930,AT5G62430,AT1G41830,AT2G38610,AT2G18230,AT3G58990,AT4G03260,AT1G10370,AT4G08870,AT1G56220,AT2G29650,AT5G65910,,,,,,,,
20.364859771752858,AT5G52570,AT5G25220,AT1G06040,AT2G38670,AT1G64970,AT2G45740,AT3G11800,AT1G66410,AT3G09600,AT5G02810,AT1G62800,AT1G72416,AT2G47490,AT5G01530,AT1G16240,AT1G06002,AT3G14760,AT5G57030,,,,,,,,,,,,,,
22.93166071921858,AT3G17609,AT1G06040,AT1G28395,AT4G18710,AT5G14270,AT1G79520,AT2G45740,AT4G28660,AT1G67740,AT5G57030,AT2G15020,AT2G37180,AT2G32080,AT3G01550,AT5G15090,AT1G79700,AT5G06690,AT1G32080,AT4G30550,AT3G61470,AT3G60370,,,,,,,,,,,
20.471124805467525,AT1G71030,AT2G47490,AT3G13222,AT5G02150,AT5G42190,AT4G38960,AT5G02270,AT4G25050,AT4G23630,AT4G33700,AT3G15840,AT3G59410,AT2G18230,AT3G14770,AT5G57660,AT5G01530,AT3G28860,AT4G17090,AT4G27450,AT4G25890,AT1G07280,AT5G14320,AT1G64970,,,,,,,,,
23.881687345046778,AT1G18060,AT5G19540,AT1G14700,AT1G31330,AT1G10370,AT5G53760,AT4G38960,AT2G18230,AT2G03310,AT4G00430,AT3G46290,AT2G39730,AT2G04700,AT4G36040,AT3G09840,AT2G20750,AT1G68440,AT4G35450,AT4G02350,AT2G35660,AT4G04020,AT1G64770,AT3G61470,AT5G02810,AT4G27320,AT3G18820,AT3G19700,AT3G29320,,,,
21.085331990375973,AT4G38960,AT5G07690,AT4G26530,AT2G40400,AT2G37240,AT5G57660,AT1G17455,AT2G30570,AT1G68238,AT4G31390,AT5G57030,AT2G45740,AT4G26130,AT5G64840,AT2G15020,AT2G15570,AT4G18710,AT5G42820,AT3G29320,AT4G27450,,,,,,,,,,,,
19.318573029123606,AT3G17510,AT4G33700,AT1G06040,AT2G47490,AT3G55040,AT1G16240,AT2G43010,AT5G57030,,,,,,,,,,,,,,,,,,,,,,,,
24.613050643284534,AT1G62800,AT3G04910,AT2G25950,AT1G64970,AT2G21320,AT3G13222,AT4G37930,AT1G31330,AT2G14080,AT2G39250,AT4G33700,AT1G03740,AT5G02810,AT1G21750,AT1G07010,AT1G14290,AT3G14415,AT5G27280,AT1G06680,AT2G21250,AT3G23210,AT3G17609,AT5G35630,,,,,,,,,
22.817027957596874,AT1G67740,AT3G17510,AT1G56220,AT2G47490,AT4G28660,AT3G56290,AT5G64940,AT1G66410,AT4G35000,AT3G56190,AT2G43010,AT1G31190,AT1G79700,AT1G10370,AT4G38620,AT2G18245,AT3G48100,AT4G12070,AT1G78370,AT1G60590,,,,,,,,,,,,
23.83878595226488,AT5G48900,AT1G37130,AT4G03260,AT5G15090,AT2G30570,AT1G21920,AT3G18490,AT5G37310,AT5G43440,AT1G56220,AT4G12060,AT5G06690,AT3G56190,AT1G06110,AT1G26560,AT2G15570,AT3G61320,AT2G31380,AT2G40400,AT2G23840,AT2G21320,AT1G71030,AT4G00430,AT5G01340,AT1G03740,AT5G53760,AT4G20410,AT1G78370,,,,
23.89573817434627,AT2G43010,AT1G17360,AT5G25220,AT4G12900,AT2G46830,AT2G37180,AT5G42820,AT3G07310,AT1G06040,AT2G37240,AT4G00430,AT3G55040,AT4G12800,AT2G19650,AT3G05180,AT1G22940,AT4G29040,AT3G51610,AT1G07010,AT1G67740,AT4G19450,AT2G42220,,,,,,,,,,
22.751278848851037,AT4G08870,AT1G06002,AT2G30570,AT4G37930,AT2G32080,AT1G79920,AT2G31380,AT4G16890,AT3G18820,AT4G30550,AT1G21920,AT4G32770,AT4G26130,,,,,,,,,,,,,,,,,,,
22.259060381782685,AT4G09640,AT5G59480,AT1G06680,AT4G37540,AT1G71030,AT4G17090,AT5G42820,AT5G40500,AT5G20360,AT2G31380,AT4G27320,AT4G32770,AT2G39730,AT1G03130,AT2G42220,AT2G06925,AT1G20696,AT3G07310,AT4G03260,AT3G26280,AT1G66410,AT5G02150,,,,,,,,,,
20.9217031097925,AT1G67740,AT3G50820,AT3G29590,AT1G08980,AT5G64840,AT1G68238,AT1G06002,AT5G66740,AT2G22360,AT2G32080,AT5G43440,AT3G61470,AT5G07690,AT1G73030,AT5G65720,AT4G23630,AT1G79700,AT5G42820,AT4G37930,AT2G37180,AT1G20696,,,,,,,,,,,
25.721753387927436,AT1G13080,AT2G23840,AT2G18230,AT3G09600,AT1G21500,AT1G66410,AT5G16660,AT2G19650,AT4G38620,AT1G03130,AT4G03260,AT1G19510,AT2G31380,AT2G47750,AT2G21330,AT1G67740,AT3G46970,AT1G37130,,,,,,,,,,,,,,
22.750891329306686,AT5G19540,AT4G17090,AT5G16400,AT4G16890,AT1G37130,AT4G26850,AT1G06680,AT5G65910,AT2G39730,AT5G66740,AT5G01530,AT5G02270,AT5G66570,AT1G05710,AT4G04020,AT1G13080,AT4G35830,AT1G73030,AT4G19390,AT1G60590,AT5G12470,AT1G03740,AT2G46830,AT5G42190,AT1G07010,AT2G18700,AT5G07350,AT5G42360,,,,
21.686297537377957,AT4G38960,AT5G37310,AT5G43440,AT4G02770,AT4G25360,AT2G33500,AT1G59830,AT5G19540,AT5G39530,AT2G19650,AT2G45740,AT2G37180,AT4G00830,,,,,,,,,,,,,,,,,,,
21.67594694524769,AT4G12800,AT1G06680,AT1G64500,AT5G53760,AT4G26530,AT2G43010,AT5G59480,AT1G17455,AT4G30550,AT2G15020,AT3G46970,AT1G53320,AT2G42220,AT4G23630,AT4G16880,AT5G57660,AT5G36890,AT3G08730,AT5G65910,AT2G40400,AT4G28660,AT2G28105,AT2G37180,AT4G00830,AT1G07010,,,,,,,
21.414328512841564,AT3G56340,AT3G09600,AT1G06040,AT5G42820,AT5G35630,AT2G29310,AT2G19860,AT5G58870,AT1G66410,AT5G64940,AT3G14760,AT2G38610,AT5G06690,AT2G14080,,,,,,,,,,,,,,,,,,
21.29552307535932,AT1G65860,AT1G71030,AT5G53760,AT3G18490,AT4G23630,AT4G35830,AT5G64840,AT4G22570,AT5G42360,AT2G32080,AT5G50950,AT1G37130,AT5G19540,AT5G27280,AT2G17880,AT4G19450,,,,,,,,,,,,,,,,
25.89490275900868,AT1G62800,AT1G05710,AT2G29310,AT1G48100,AT5G02810,AT1G20696,AT2G23840,AT3G59410,AT4G27390,AT3G08730,AT1G14290,AT1G06002,,,,,,,,,,,,,,,,,,,,
24.71979106885479,AT4G08870,AT1G07010,AT4G16360,AT4G26130,AT3G09840,AT3G11900,AT2G06925,AT4G04020,AT2G21320,AT2G27420,AT2G14660,AT2G28720,AT5G14780,AT1G21920,AT3G56290,,,,,,,,,,,,,,,,,
21.830501667336442,AT2G40400,AT2G47490,AT3G46970,AT5G02810,AT4G19390,AT5G65910,AT3G11800,AT4G38960,AT5G15850,AT4G12070,AT5G53760,AT4G37540,AT5G42820,AT5G39530,AT2G19650,AT1G79700,AT5G35630,AT5G57030,AT2G47750,,,,,,,,,,,,,
23.831336840945728,AT2G42220,AT4G09810,AT2G47490,AT1G06040,AT4G17090,AT3G46290,AT4G31390,AT2G19650,AT5G15850,AT1G71030,AT4G16060,AT1G56220,AT3G46450,AT2G28105,AT3G56190,AT1G37130,AT4G27450,AT1G79920,AT2G40400,AT1G21500,,,,,,,,,,,,
21.6782381924187,AT4G12800,AT2G29650,AT5G66920,AT2G47490,AT1G53910,AT5G02810,AT1G08980,AT2G32080,AT1G07180,AT2G46830,AT4G08870,AT2G22360,AT4G12060,AT3G01120,AT3G13222,AT1G73030,AT4G33700,,,,,,,,,,,,,,,
19.3830857822308,AT5G15850,AT1G06040,AT5G43440,AT4G33700,AT1G78370,AT4G12060,AT2G06925,AT1G67740,AT5G64860,AT5G64840,AT1G13990,AT5G16400,AT1G79520,AT1G64770,AT5G52570,AT2G18700,AT4G22570,AT5G52450,AT4G31390,AT3G48100,AT5G20360,AT1G15690,AT1G16410,AT1G13560,AT3G19930,AT1G31330,AT1G10370,AT2G35660,AT1G07280,AT1G73030,,
22.80572313689484,AT2G28105,AT5G15850,AT5G37310,AT1G06040,AT2G18245,AT5G23010,AT4G36040,AT3G14770,AT2G41430,AT4G31390,AT1G14700,AT5G06690,AT4G12900,AT5G66920,AT3G54830,AT5G51820,AT1G57980,AT5G47310,AT3G13222,AT2G15570,AT5G16410,,,,,,,,,,,
17.34568648987943,AT5G52570,AT4G26130,AT1G17360,AT4G38960,AT5G51820,AT4G28660,AT1G20696,AT2G27420,AT4G16890,AT1G60590,AT5G02150,AT2G19650,AT2G30570,AT1G20950,AT3G19710,AT1G06110,AT3G07310,AT3G18490,AT1G06040,AT4G21926,AT2G14660,AT3G60130,AT1G10155,,,,,,,,,
21.945269311708326,AT5G20360,AT5G43440,AT5G64860,AT1G07010,AT2G42220,AT4G12800,AT5G15850,AT5G40500,AT3G58990,AT4G13810,AT5G18050,AT1G59830,AT5G54110,AT1G62800,AT3G11900,AT5G52450,AT1G31190,AT5G14120,AT5G35630,AT3G60370,AT2G24150,AT1G59900,AT2G37240,AT1G73030,AT2G15570,AT5G53760,,,,,,
21.043293211700664,AT2G40400,AT5G43440,AT1G06040,AT5G57030,AT2G33500,AT1G18060,AT1G21920,AT1G10370,AT2G04700,AT2G32080,,,,,,,,,,,,,,,,,,,,,,
21.379875486737067,AT3G09600,AT5G35630,AT3G02570,AT5G40500,AT4G23630,AT1G79700,AT5G47560,AT1G21500,AT4G12900,AT3G08730,AT3G58990,AT1G64770,AT1G01910,AT1G78230,AT1G56220,AT5G50950,AT2G42220,AT5G64860,AT1G67740,AT5G65720,AT2G39730,AT1G59830,AT2G21320,,,,,,,,,
21.108694632008383,AT2G43010,AT5G15850,AT5G53760,AT5G42820,AT1G37130,AT2G37180,AT1G73030,AT5G24420,AT4G19110,AT1G14290,AT3G46970,AT2G40400,AT2G15570,AT1G06040,AT4G19450,AT1G16240,AT3G14770,AT1G72340,AT5G20360,AT2G20750,AT3G56190,AT1G64230,,,,,,,,,,
21.269456087344576,AT5G52570,AT1G06040,AT4G04020,AT3G56190,AT2G47490,AT5G42820,AT2G18245,AT1G65860,AT1G79920,AT1G56220,AT1G18060,AT4G27450,,,,,,,,,,,,,,,,,,,,
22.907068157372066,AT4G32280,AT1G37130,AT5G64840,AT5G35630,AT4G26130,AT2G37180,AT1G06680,AT1G08980,AT3G51610,AT4G36360,AT5G12470,AT4G12060,AT5G13100,AT1G59830,AT5G07350,AT4G26850,,,,,,,,,,,,,,,,
21.31874362845817,AT5G02810,AT3G14770,AT2G45740,AT1G79700,AT3G58990,AT1G73030,AT5G64860,AT5G54930,AT1G48100,AT5G20360,AT3G50820,AT1G15690,AT2G33500,AT4G12800,AT4G26130,AT1G18060,AT3G59410,AT2G41430,AT2G14660,,,,,,,,,,,,,
21.677890768244392,AT2G31380,AT3G46970,AT5G02810,AT5G65720,AT1G07010,AT4G26530,AT3G14415,AT1G59830,AT5G06690,AT1G64500,AT1G26560,AT3G19930,AT2G30570,AT4G18730,AT1G32080,,,,,,,,,,,,,,,,,
24.273762053578235,AT5G43440,AT1G78370,AT2G39730,AT4G19450,AT1G06040,AT5G25220,AT2G03310,AT5G14200,AT3G09840,AT3G08920,,,,,,,,,,,,,,,,,,,,,,
25.574917889824864,AT3G11900,AT5G20360,AT5G37780,AT3G46290,AT3G19710,AT1G37130,AT4G35783,AT1G08980,AT1G64500,AT1G06002,AT5G40500,AT1G57990,AT3G07350,AT3G08730,AT4G35310,,,,,,,,,,,,,,,,,
23.45765861889905,AT5G40500,AT5G19540,AT3G11900,AT5G35630,AT1G17050,AT4G12800,AT1G65860,AT4G00830,AT4G26130,AT4G35000,AT5G64940,AT1G17360,AT5G16400,AT3G11800,AT5G52450,AT2G47490,AT3G19710,AT4G09810,AT2G29310,,,,,,,,,,,,,
23.631039243349743,AT2G38670,AT3G09600,AT2G30570,AT3G59410,AT5G18130,AT1G10370,AT2G18230,AT5G14320,AT1G06002,AT4G09810,AT4G16180,AT4G12800,AT3G11800,AT4G27320,AT3G54830,AT1G60590,AT5G24420,AT5G01340,,,,,,,,,,,,,,
29.314874582474282,AT5G66740,AT5G40500,AT3G11900,AT2G47490,AT5G06690,AT1G09340,AT5G02810,AT2G04700,,,,,,,,,,,,,,,,,,,,,,,,
24.160075402817814,AT5G14200,AT4G12070,AT3G13930,AT5G64860,AT1G21500,AT1G48100,AT1G26560,AT2G32080,AT4G12060,AT5G62430,AT4G04020,AT5G64840,AT2G43010,AT3G09550,AT1G16240,AT1G08980,AT2G35660,AT1G33970,AT2G37180,AT2G19860,AT3G14760,AT1G65490,AT4G35000,AT2G17880,,,,,,,,
32.10641292912344,AT1G31330,AT2G33500,AT1G03130,AT1G09340,AT3G09600,AT4G12900,AT2G38820,AT2G41430,,,,,,,,,,,,,,,,,,,,,,,,
20.029608520359602,AT2G18230,AT5G43440,AT2G47490,AT1G06040,AT5G23010,AT4G00830,AT1G37130,AT4G16880,AT4G37540,AT1G21500,AT4G19390,,,,,,,,,,,,,,,,,,,,,
22.07742762178709,AT2G47750,AT4G19450,AT3G17510,AT4G37930,AT5G06690,AT4G16880,AT2G47490,AT1G13650,AT4G16890,AT1G06040,AT1G53320,,,,,,,,,,,,,,,,,,,,,
21.71208754245189,AT3G08920,AT2G40400,AT5G15850,AT1G72416,AT5G40500,AT5G35630,AT5G42190,AT5G06690,AT2G42220,AT2G30570,AT2G19650,AT4G00830,AT3G56290,AT1G13080,AT5G12150,,,,,,,,,,,,,,,,,
22.06952875009276,AT3G59410,AT4G26130,AT5G58870,AT2G15570,AT4G08870,AT2G33500,AT5G57660,AT2G32080,AT5G37310,AT2G23010,AT1G64970,AT1G15690,AT1G21500,AT4G27320,AT2G19650,AT2G42220,,,,,,,,,,,,,,,,
24.90686784055037,AT4G32280,AT5G64860,AT2G32390,AT1G48100,AT4G35783,AT5G02150,AT5G47560,AT3G09600,AT3G55040,AT2G15570,AT5G55070,AT1G31330,AT4G37930,AT2G23840,AT2G29650,AT5G64840,,,,,,,,,,,,,,,,
